language,group,key,value
lt,table,id,Id
lt,table,language_code,Kodas
lt,table,language,Kalba
lt,table,enabled,Įjungta
lt,table,created_at,Sukurta
lt,table,updated_at,Atnaujinta
lt,button,login,Prisijungti
lt,button,logout,Atsijungti
lt,button,delete,Ištrinti
lt,button,add,Sukurti
lt,button,cancel,Atšaukti
lt,button,create,Sukurti
lt,button,edit,Keisti
lt,button,update,Atnaujinti
lt,button,view,Peržiūrėti
lt,button,import,Įkelti
lt,button,download,Parsisiųsti
lt,button,export,Eksportuoti
lt,button,next,Pirmyn
lt,button,previous,Atgal
